city,country,province,reviews.rating,Lodging,Hotel,Motel,Meal
6,1,4,3.0,0,1,1,3
7,1,5,3.0,1,1,0,3
8,1,6,0.0,1,1,1,4
8,1,6,0.0,1,1,1,4
9,1,3,3.0,1,1,0,3
9,1,3,2.0,1,1,0,3
9,1,3,2.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,2.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,2.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,2.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,2.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,2.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,2.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,1.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,2.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,3.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,4.0,1,1,0,3
9,1,3,1.0,1,1,0,3
9,1,3,5.0,1,1,0,3
9,1,3,1.0,1,1,0,3
9,1,3,3.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,1.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,3.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,2.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,3.0,1,1,0,3
10,1,7,1.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,2.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,3.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,3.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,5.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,4.0,1,1,0,3
10,1,7,3.0,1,1,0,3
10,1,7,5.0,1,1,0,3
